bioguide_id,Bridge Grade,House Member,District,Party,Bridge Score,Category,raw_A,normdisn_A,points_A,raw_B,normdisn_B,points_B,raw_D,normdisn_D,points_D,raw_E,normdisn_E,points_E,raw_F1,normdisn_F1,points_F1,raw_F2,normdisn_F2,points_F2,raw_G,normdisn_G,points_G,raw_H,normdisn_H,points_H,raw_I1,normdisn_I1,points_I1,raw_I2,normdisn_I2,points_I2,raw_K,normdisn_K,points_K,raw_L,normdisn_L,points_L,score_T,party_match,calc_M,normdisn_M,multiple_M,calc_N,normdisn_N,multple_N,calc_O,normdisn_O,multiple_O,multiple_M1,adj_score_S,VV_ideology,PRL_ideology,ideology_score,label,2024 Election Status
B001315,A, Nikki Budzinski,IL-13,D,95.05,Bridger,9.69,50.48,50.48,11.00,69.02,34.51,-0.01,66.37,99.55,16.83,49.98,49.98,326,94.75,71.06,13.11,98.57,73.93,10.00,98.57,49.29,20,78.88,39.44,13.11,98.57,73.93,0.12,23.05,57.71,40,98.92,49.46,0.493,92.98,46.49,698.62,1.00,3.44,11.95, 1.19 ,0.32, 20.81 ,1.04,1.26,27.53,1.38,103.6%,723.85,-0.324,-1.258, (53.36), Nikki Budzinski (D) - IL-13,running
J000308,A, Jeff Jackson,NC-14,D,93.78,Bridger,9.69,50.48,50.48,23.00,98.48,49.24,1.24,96.42,144.63,16.83,49.98,49.98,19,18.41,13.81,9.36,87.56,65.67,10.00,98.57,49.29,20,78.88,39.44,9.36,87.56,65.67,0.49,28.91,53.32,30,93.76,46.88,0.171,68.82,34.41,677.68,1.00,5.54,17.41, 1.74 ,0.27, 11.56 ,0.58,1.42,37.72,1.89,104.2%,706.18,-0.266,-1.423, (52.85), Jeff Jackson (D) - NC-14,other race
K000382,A, Ann M. Kuster,NH-02,D,93.71,Bridger,22.00,95.98,95.98,16.00,88.33,44.16,0.57,85.66,128.49,11.18,32.07,32.07,494,99.87,74.90,13.09,98.55,73.91,0.00,32.44,16.22,20,78.88,39.44,13.09,98.55,73.91,0.29,25.66,55.76,10,50.50,25.25,-0.083,38.77,19.39,676.32,1.00,1.71,8.45, 0.85 ,0.26, 11.18 ,0.56,1.71,57.41,2.87,104.3%,705.23,-0.263,-1.714, (57.62), Ann M. Kuster (D) - NH-02,retiring
K000380,A, Daniel T. Kildee,MI-08,D,93.42,Bridger,16.00,81.66,81.66,14.00,81.95,40.98,0.40,80.76,121.14,10.12,29.02,29.02,213,75.59,56.69,13.95,99.23,74.42,10.00,98.57,49.29,20,78.88,39.44,13.95,99.23,74.42,1.63,50.10,37.42,10,50.50,25.25,-0.186,27.43,13.72,679.02,0.00,1.07,7.38, 0.74 ,0.36, 28.50 ,1.43,1.43,38.15,1.91,103.3%,701.64,-0.361,-1.430, (58.72), Daniel T. Kildee (D) - MI-08,retiring
G000600,A, Marie Gluesenkamp Perez,WA-03,D,93.25,Bridger,9.69,50.48,50.48,27.00,99.67,49.84,1.65,98.81,148.22,16.83,49.98,49.98,325,94.66,70.99,17.40,99.96,74.97,0.00,32.44,16.22,20,78.88,39.44,17.40,99.96,74.97,0.05,22.02,58.49,30,93.76,46.88,0.262,77.90,38.95,696.69,0.00,4.62,14.85, 1.48 ,0.08, 0.77 ,0.04,0.76,7.40,0.37,100.4%,699.54,-0.081,-0.764, (25.65), Marie Gluesenkamp Perez (D) - WA-03,running
S001225,A, Eric Sorensen,IL-17,D,93.22,Bridger,9.69,50.48,50.48,14.00,81.95,40.98,0.30,77.73,116.59,16.83,49.98,49.98,129,50.13,37.60,10.39,92.48,69.36,10.00,98.57,49.29,20,78.88,39.44,10.39,92.48,69.36,0.00,21.30,59.03,40,98.92,49.46,0.282,79.67,39.83,680.83,1.00,1.91,8.81, 0.88 ,0.24, 8.97 ,0.45,1.26,27.43,1.37,102.7%,699.23,-0.244,-1.257, (48.23), Eric Sorensen (D) - IL-17,running
C001063,A, Henry Cuellar,TX-28,D,92.97,Bridger,8.00,41.06,41.06,21.00,97.04,48.52,1.09,94.96,142.44,37.20,95.30,95.30,346,96.29,72.22,7.69,75.55,56.66,0.00,32.44,16.22,20,78.88,39.44,7.69,75.55,56.66,0.00,21.30,59.03,20,78.05,39.02,0.627,97.02,48.51,682.79,1.00,3.20,11.41, 1.14 ,0.23, 7.19 ,0.36,0.84,9.43,0.47,102.0%,696.26,-0.226,-0.841, (38.34), Henry Cuellar (D) - TX-28,running
G000577,A, Garret Graves,LA-06,R,92.64,Bridger,8.00,41.06,41.06,17.00,90.84,45.42,0.67,87.98,131.96,26.60,78.88,78.88,124,48.50,36.37,6.28,61.89,46.41,10.00,98.57,49.29,0,14.07,7.03,6.28,61.89,46.41,0.39,27.26,54.55,20,78.05,39.02,0.05,54.82,27.41,625.72,1.00,19.48,74.29, 7.43 ,0.43, 44.53 ,2.23,1.12,20.42,1.02,110.7%,692.53,0.426,1.125, 56.07 , Garret Graves (R) - LA-06,retiring
J000301,A, Dusty Johnson,SD-AL,R,92.43,Bridger,19.00,90.75,90.75,12.00,73.74,36.87,0.13,71.74,107.61,30.04,86.13,86.13,52,26.47,19.85,2.86,26.03,19.52,10.00,98.57,49.29,20,78.88,39.44,2.86,26.03,19.52,0.11,22.90,57.83,50,99.89,49.94,0.135,64.83,32.42,626.05,1.00,16.05,60.30, 6.03 ,0.47, 54.81 ,2.74,1.29,29.39,1.47,110.2%,690.15,0.465,1.290, 61.23 , Dusty Johnson (R) - SD-AL,running
M001159,A, Cathy McMorris Rodgers,WA-05,R,91.53,Bridger,9.00,46.62,46.62,15.00,85.37,42.69,0.47,82.81,124.22,31.45,88.53,88.53,246,83.25,62.44,7.02,69.39,52.04,0.00,32.44,16.22,20,78.88,39.44,7.02,69.39,52.04,0.25,25.03,56.23,25,87.58,43.79,0.097,60.44,30.22,640.47,1.00,7.74,24.60, 2.46 ,0.44, 47.16 ,2.36,1.29,29.24,1.46,106.3%,680.69,0.436,1.288, 59.40 , Cathy McMorris Rodgers (R) - WA-05,retiring
